source_point_id,time_s,rotary_phase_rad,X,Y,Z,A_rad,C_rad
point-0000042,35.156585040,3.490658504,127.204065516,-402.804354443,-35.465850830,0.785398163,-1.919862177
point-0000043,36.029249666,3.577924967,98.570042966,-409.892518065,-42.436163322,0.785398163,-2.007128640
point-0000044,36.901914292,3.665191429,69.185842870,-415.189488070,-47.615282197,0.785398163,-2.094395102
point-0000045,37.774578918,3.752457892,39.275096735,-418.655848236,-50.963791233,0.785398163,-2.181661565
point-0000046,38.647243544,3.839724354,9.065443399,-420.266114387,-52.456206253,0.785398163,-2.268928028
point-0000047,39.519908170,3.926990817,-21.213203436,-420.008928344,-52.081169080,0.785398163,-2.356194490
point-0000048,40.392572796,4.014257280,-51.330404983,-417.887144365,-49.841533971,0.785398163,-2.443460953
point-0000049,41.265237422,4.101523742,-81.056951154,-413.917807427,-45.754345903,0.785398163,-2.530727415
point-0000050,42.137902048,4.188790205,-110.166604984,-408.132023499,-39.850710844,0.785398163,-2.617993878
point-0000051,43.010566674,4.276056667,-138.437824429,-400.574722807,-32.175559022,0.785398163,-2.705260341
point-0000052,43.883231300,4.363323130,-165.655448439,-391.304317893,-22.787302977,0.785398163,-2.792526803
point-0000053,44.755895926,4.450589593,-191.612334462,-380.392259052,-11.757393007,0.785398163,-2.879793266
point-0000054,45.628560552,4.537856055,-216.110934920,-367.922490561,0.830226615,0.785398163,-2.967059728
point-0000055,46.501225178,4.625122518,-238.964800672,-353.990811804,14.879756502,0.785398163,-3.054326191
point-0000056,47.373889804,4.712388980,-260.000000000,-338.704148188,30.284271248,0.785398163,-3.141592654
point-0000057,48.246554430,4.799655443,-279.056442336,-322.179737372,46.926533194,0.785398163,-3.228859116
point-0000058,49.119219056,4.886921906,-295.989096647,-304.544237018,64.679884679,0.785398163,-3.316125579
point-0000059,49.991883682,4.974188368,-310.669095209,-285.932760849,83.409211977,0.785398163,-3.403392041
point-0000060,50.864548308,5.061454831,-322.984714369,-266.487850357,102.971973600,0.785398163,-3.490658504
point-0000061,51.737212934,5.148721293,-332.842224830,-246.358389969,123.219285117,0.785398163,-3.577924967
point-0000062,52.609877560,5.235987756,-340.166604984,-225.698473952,143.997052265,0.785398163,-3.665191429
point-0000063,53.482542186,5.323254219,-344.902111876,-204.666233660,165.147143687,0.785398163,-3.752457892
point-0000064,54.355206812,5.410520681,-347.012705439,-183.422634059,186.508594419,0.785398163,-3.839724354
point-0000065,55.227871438,5.497787144,-346.482322781,-162.130248687,207.918830920,0.785398163,-3.926990817
point-0000066,56.100536064,5.585053606,-343.315000436,-140.952022373,229.214908365,0.785398163,-4.014257280
point-0000067,56.973200690,5.672320069,-337.534843638,-120.050031124,250.234750744,0.785398163,-4.101523742
point-0000068,57.845865316,5.759586532,-329.185842870,-99.584248633,270.818384365,0.785398163,-4.188790205
point-0000069,58.718529942,5.846852994,-318.331539071,-79.711328781,290.809155347,0.785398163,-4.276056667
point-0000070,59.591194568,5.934119457,-305.054540045,-60.583413406,310.054921852,0.785398163,-4.363323130
point-0000071,60.463859194,6.021385919,-289.455891773,-42.346974412,328.409211977,0.785398163,-4.450589593
point-0000072,61.336523820,6.108652382,-271.654309386,-25.141699028,345.732338491,0.785398163,-4.537856055
point-0000073,62.209188446,6.195918845,-251.785273675,-9.099426709,361.892461940,0.785398163,-4.625122518
point-0000074,63.081853072,6.283185307,-230.000000000,5.656854250,376.766594029,0.785398163,-4.712388980
point-0000075,63.331853072,6.283185307,-230.000000000,6.363961031,377.473700810,0.785398163,-4.712388980
