source_point_id,time_s,rotary_phase_rad,X,Y,Z,A_rad,C_rad
point-0000076,60.677871438,9.337511498,-251.785273675,255.800000000,-224.964800672,-1.570796327,-4.625122518
point-0000077,61.550536064,9.250245036,-271.654309386,255.800000000,-202.110934920,-1.570796327,-4.537856055
point-0000078,62.423200690,9.162978573,-289.455891773,255.800000000,-177.612334462,-1.570796327,-4.450589593
point-0000079,63.295865316,9.075712110,-305.054540045,255.800000000,-151.655448439,-1.570796327,-4.363323130
point-0000080,64.168529942,8.988445648,-318.331539071,255.800000000,-124.437824429,-1.570796327,-4.276056667
point-0000081,65.041194568,8.901179185,-329.185842870,255.800000000,-96.166604984,-1.570796327,-4.188790205
point-0000082,65.913859194,8.813912723,-337.534843638,255.800000000,-67.056951154,-1.570796327,-4.101523742
point-0000083,66.786523820,8.726646260,-343.315000436,255.800000000,-37.330404983,-1.570796327,-4.014257280
point-0000084,67.659188446,8.639379797,-346.482322781,255.800000000,-7.213203436,-1.570796327,-3.926990817
point-0000085,68.531853072,8.552113335,-347.012705439,255.800000000,23.065443399,-1.570796327,-3.839724354
point-0000086,69.404517698,8.464846872,-344.902111876,255.800000000,53.275096735,-1.570796327,-3.752457892
point-0000087,70.277182324,8.377580410,-340.166604984,255.800000000,83.185842870,-1.570796327,-3.665191429
point-0000088,70.777182324,8.377580410,-340.166604984,255.800000000,84.185842870,-1.570796327,-3.665191429
point-0000089,71.177182324,8.377580410,-340.166604984,256.600000000,84.185842870,-1.570796327,-3.665191429
point-0000090,71.677182324,8.377580410,-340.166604984,256.600000000,83.185842870,-1.570796327,-3.665191429
point-0000091,72.549846950,8.464846872,-344.902111876,256.600000000,53.275096735,-1.570796327,-3.752457892
point-0000092,73.422511576,8.552113335,-347.012705439,256.600000000,23.065443399,-1.570796327,-3.839724354
point-0000093,74.295176202,8.639379797,-346.482322781,256.600000000,-7.213203436,-1.570796327,-3.926990817
point-0000094,75.167840828,8.726646260,-343.315000436,256.600000000,-37.330404983,-1.570796327,-4.014257280
point-0000095,76.040505454,8.813912723,-337.534843638,256.600000000,-67.056951154,-1.570796327,-4.101523742
point-0000096,76.913170080,8.901179185,-329.185842870,256.600000000,-96.166604984,-1.570796327,-4.188790205
point-0000097,77.785834706,8.988445648,-318.331539071,256.600000000,-124.437824429,-1.570796327,-4.276056667
point-0000098,78.658499332,9.075712110,-305.054540045,256.600000000,-151.655448439,-1.570796327,-4.363323130
point-0000099,79.531163958,9.162978573,-289.455891773,256.600000000,-177.612334462,-1.570796327,-4.450589593
point-0000100,80.403828584,9.250245036,-271.654309386,256.600000000,-202.110934920,-1.570796327,-4.537856055
point-0000101,81.276493210,9.337511498,-251.785273675,256.600000000,-224.964800672,-1.570796327,-4.625122518
point-0000102,82.149157836,9.424777961,-230.000000000,256.600000000,-246.000000000,-1.570796327,-4.712388980
point-0000103,83.021822462,9.512044423,-206.464287447,256.600000000,-265.056442336,-1.570796327,-4.799655443
point-0000104,83.894487088,9.599310886,-181.357256999,256.600000000,-281.989096647,-1.570796327,-4.886921906
point-0000105,84.767151714,9.686577349,-154.869988320,256.600000000,-296.669095209,-1.570796327,-4.974188368
point-0000106,85.639816340,9.773843811,-127.204065516,256.600000000,-308.984714369,-1.570796327,-5.061454831
point-0000107,86.512480966,9.861110274,-98.570042966,256.600000000,-318.842224830,-1.570796327,-5.148721293
point-0000108,87.385145592,9.948376736,-69.185842870,256.600000000,-326.166604984,-1.570796327,-5.235987756
point-0000109,87.885145592,9.948376736,-69.185842870,256.600000000,-325.166604984,-1.570796327,-5.235987756
