point_id,time_s,X_mm,Y_mm,Z_mm,A_rad,C_rad,material_id,channel_id
point-0000055,5.585235514,-79.526104525,-3.145076003,55.100008850,0.059973077,-0.902872182,PETG,T1
point-0000056,5.633444625,-80.227292476,-3.123837113,55.275539454,0.059448876,-0.939352657,PETG,T1
point-0000057,5.677214411,-80.859882199,-3.105815101,55.450351150,0.058983645,-0.975722716,PETG,T1
point-0000058,5.716524819,-81.423054890,-3.091443543,55.624489960,0.058575368,-1.011990033,PETG,T1
point-0000059,5.751406906,-81.916574396,-3.081140349,55.797993102,0.058222033,-1.048160662,PETG,T1
point-0000060,5.781897013,-82.339913782,-3.074598966,55.970942424,0.057922606,-1.084250390,PETG,T1
point-0000061,5.808068584,-82.692556622,-3.071491586,56.143416706,0.057675422,-1.120274363,PETG,T1
point-0000062,5.830067889,-82.974136859,-3.071693347,56.315479605,0.057479813,-1.156245215,PETG,T1
point-0000063,5.848156511,-83.184189626,-3.075065769,56.487194681,0.057335076,-1.192175532,PETG,T1
point-0000064,5.862857890,-83.322757740,-3.081436824,56.658622985,0.057240057,-1.228077305,PETG,T1
point-0000065,5.875125976,-83.389612162,-3.090657979,56.829822553,0.057194186,-1.263962641,PETG,T1
point-0000066,5.886560164,-83.384747103,-3.102605880,57.000849531,0.057197310,-1.299843493,PETG,T1
point-0000067,5.899084624,-83.308117956,-3.117185264,57.171757061,0.057249506,-1.335731556,PETG,T1
point-0000068,5.914222528,-83.159525505,-3.134338907,57.342596666,0.057351556,-1.371638503,PETG,T1
point-0000069,5.932843524,-82.939413765,-3.153980168,57.513423712,0.057503690,-1.407576422,PETG,T1
point-0000070,5.955411356,-82.648017251,-3.176025340,57.684292566,0.057706174,-1.443557407,PETG,T1
point-0000071,5.982168975,-82.285706864,-3.200441548,57.855255491,0.057960017,-1.479593878,PETG,T1
point-0000072,6.013260210,-81.852689791,-3.227229798,58.026364218,0.058266360,-1.515697960,PETG,T1
point-0000073,6.048765890,-81.349250479,-3.256379777,58.197671362,0.058626610,-1.551882591,PETG,T1
point-0000074,6.088709945,-80.776045022,-3.287938708,58.369232505,0.059042744,-1.588161531,PETG,T1
point-0000075,6.133101556,-80.133635889,-3.321987925,58.541103278,0.059516736,-1.624548490,PETG,T1
point-0000076,6.181930736,-79.422681559,-3.358636405,58.713340958,0.060050408,-1.661057624,PETG,T1
point-0000077,6.235171468,-78.643958764,-3.398134251,58.885997359,0.060645795,-1.697702489,PETG,T1
point-0000078,6.292799027,-77.798152805,-3.441284055,59.059089432,0.061304553,-1.734489725,PETG,T1
point-0000079,6.354765139,-76.886253815,-3.489020141,59.232629850,0.062029534,-1.771426760,PETG,T1
point-0000080,6.421028002,-75.909106774,-3.542209884,59.406632963,0.062824028,-1.808522178,PETG,T1
point-0000081,6.491530234,-74.867761035,-3.601617067,59.581123440,0.063691146,-1.845787405,PETG,T1
point-0000082,6.566197966,-73.763490238,-3.667890957,59.756136472,0.064633771,-1.883237064,PETG,T1
point-0000083,9.520383042,73.763490238,3.667890957,59.756136472,-0.064633771,-2.930434615,,
point-0000084,9.595050774,74.867761035,3.601617067,59.581123440,-0.063691146,-2.892984956,PA,T2
point-0000085,9.665553007,75.909106774,3.542209884,59.406632963,-0.062824028,-2.855719730,PA,T2
point-0000086,9.731815870,76.886253815,3.489020141,59.232629850,-0.062029534,-2.818624311,PA,T2
point-0000087,9.793781982,77.798152805,3.441284055,59.059089432,-0.061304553,-2.781687276,PA,T2
point-0000088,9.851409540,78.643958764,3.398134251,58.885997359,-0.060645795,-2.744900040,PA,T2
point-0000089,9.904650273,79.422681559,3.358636405,58.713340958,-0.060050408,-2.708255175,PA,T2
point-0000090,9.953479453,80.133635890,3.321987925,58.541103278,-0.059516736,-2.671746041,PA,T2
point-0000091,9.997871069,80.776045109,3.287938705,58.369232507,-0.059042744,-2.635359082,PA,T2
point-0000092,10.037815119,81.349250479,3.256379777,58.197671362,-0.058626610,-2.599080142,PA,T2
point-0000093,10.073320799,81.852689791,3.227229798,58.026364218,-0.058266360,-2.562895511,PA,T2
point-0000094,10.104412034,82.285706870,3.200441548,57.855255491,-0.057960017,-2.526791430,PA,T2
point-0000095,10.131169652,82.648017250,3.176025340,57.684292566,-0.057706174,-2.490754958,PA,T2
point-0000096,10.153737484,82.939413764,3.153980168,57.513423712,-0.057503690,-2.454773974,PA,T2
point-0000097,10.172358480,83.159525505,3.134338907,57.342596666,-0.057351556,-2.418836054,PA,T2
point-0000098,10.187496385,83.308117956,3.117185264,57.171757061,-0.057249506,-2.382929107,PA,T2
point-0000099,10.200020844,83.384747103,3.102605880,57.000849531,-0.057197310,-2.347041044,PA,T2
point-0000100,10.211455032,83.389612162,3.090657979,56.829822553,-0.057194186,-2.311160193,PA,T2
point-0000101,10.223723118,83.322757740,3.081436824,56.658622985,-0.057240057,-2.275274856,PA,T2
point-0000102,10.238424498,83.184189626,3.075065769,56.487194681,-0.057335076,-2.239373083,PA,T2
point-0000103,10.256513120,82.974136859,3.071693347,56.315479605,-0.057479813,-2.203442766,PA,T2
point-0000104,10.278512424,82.692556629,3.071491585,56.143416706,-0.057675422,-2.167471914,PA,T2
point-0000105,10.304683995,82.339913782,3.074598966,55.970942424,-0.057922606,-2.131447941,PA,T2
point-0000106,10.335174103,81.916574396,3.081140349,55.797993102,-0.058222033,-2.095358213,PA,T2
point-0000107,10.370056190,81.423054890,3.091443543,55.624489960,-0.058575368,-2.059187584,PA,T2
point-0000108,10.409366598,80.859882199,3.105815101,55.450351150,-0.058983645,-2.022920267,PA,T2
point-0000109,10.453136383,80.227292483,3.123837112,55.275539454,-0.059448876,-1.986550209,PA,T2
point-0000110,10.501345494,79.526104526,3.145076002,55.100008850,-0.059973077,-1.950069733,PA,T2
point-0000111,10.553960001,78.757206495,3.169125344,54.923708309,-0.060558111,-1.913470010,PA,T2
point-0000112,10.610938200,77.921508644,3.195613626,54.746582981,-0.061205719,-1.876741025,PA,T2
point-0000113,10.672243237,77.019762811,3.223835154,54.568602081,-0.061917595,-1.839877126,PA,T2
point-0000114,10.737843446,76.052601769,3.253252538,54.389726953,-0.062697755,-1.802872125,PA,T2
point-0000115,10.807663040,75.021334488,3.284163307,54.209846913,-0.063550656,-1.765705654,PA,T2
point-0000116,10.881642751,73.926988683,3.316889219,54.028847635,-0.064480881,-1.728357161,PA,T2
point-0000117,10.959712342,72.770737846,3.351745706,53.846603903,-0.065492795,-1.690803795,PA,T2
point-0000118,11.041785446,71.553984675,3.389052923,53.662977539,-0.066590748,-1.653019719,PA,T2
point-0000119,11.127799215,70.277771695,3.429392401,53.477812652,-0.067781241,-1.614977130,PA,T2
point-0000120,11.217642985,68.943851910,3.473136048,53.290936527,-0.069067272,-1.576641570,PA,T2
point-0000121,11.311237487,67.553490138,3.520608408,53.102190828,-0.070452750,-1.537980566,PA,T2
point-0000122,11.408478959,66.108314198,3.572044498,52.911405050,-0.071940681,-1.498956273,PA,T2
point-0000123,11.509241280,64.610281676,3.627571208,52.718401066,-0.073532922,-1.459525351,PA,T2
