point_id,time_s,X,Y,Z,A,C
point-0000001,0.0,300.0,-279.75,-202.50000000000003,-1.5707963267948966,0.0
point-0000002,220.82177653212835,302.12887283749126,-279.75,-199.4978388071047,-1.5707963267948966,-0.009973310011378782
point-0000003,658.7320835735256,306.1870033011588,-279.75,-193.43155872059913,-1.5707963267948966,-0.029919930034246235
point-0000004,1096.6523762784068,310.12333130942267,-279.75,-187.28534621741167,-1.5707963267948966,-0.049866550057028815
point-0000005,1534.582777694619,313.93628666757104,-279.75,-181.06164658400033,-1.5707963267948966,-0.06981317007976275
point-0000006,1972.5234071161087,317.62434826524037,-279.75,-174.76293593894326,-1.5707963267948966,-0.08975979010261986
point-0000007,2410.474380025829,321.1860446815073,-279.75,-168.3917202479835,-1.5707963267948966,-0.10970641012534145
point-0000008,2848.435808073563,324.6199547704847,-279.75,-161.95053432671264,-1.5707963267948966,-0.12965303014820645
point-0000009,3286.407799010195,327.9247082265534,-279.75,-155.44194083243386,-1.5707963267948966,-0.1495996501709335
point-0000010,3724.390456672364,331.0989861297474,-279.75,-148.86852924422752,-1.5707963267948966,-0.16954627019382662
point-0000011,4162.3838809166255,334.1415214703069,-279.75,-142.23291483312022,-1.5707963267948966,-0.1894928902165342
point-0000012,4496.289590734148,336.3936143514036,-279.75,-137.14387152075588,-1.5707963267948966,-0.2046696304466431
point-0000013,4707.133555056995,337.810186500358,-279.75,-133.92797604584976,-1.5707963267948966,-0.21420939003185924
point-0000014,5040.998571757027,339.9358300935199,-279.75,-128.78556656656295,-1.5707963267948966,-0.22938613026217194
point-0000015,5479.030145054674,342.57606173416775,-279.75,-121.97918279862921,-1.5707963267948966,-0.2493327502849603
point-0000016,5917.072877747593,345.08001131573985,-279.75,-115.12129425412803,-1.5707963267948966,-0.26927937030771076
point-0000017,6355.126847947073,347.4466785216554,-279.75,-108.21462936475558,-1.5707963267948966,-0.28922599033054014
point-0000018,6793.192129583476,349.6751176536749,-279.75,-101.261935971769,-1.5707963267948966,-0.3091726103532447
point-0000019,7231.26879239686,351.7644380082535,-279.75,-94.26598023245656,-1.5707963267948966,-0.32911923037613117
point-0000020,7669.356901886711,353.7138042308072,-279.75,-87.22954551999759,-1.5707963267948966,-0.3490658503989057
point-0000021,8107.456519309013,355.5224366481761,-279.75,-80.15543131574321,-1.5707963267948966,-0.36901247042165114
point-0000022,8545.567701645705,357.18961157879255,-279.75,-73.04645209555468,-1.5707963267948966,-0.38895909044446936
point-0000023,8983.690501578847,358.7146616205987,-279.75,-65.90543621012974,-1.5707963267948966,-0.40890571046726265
point-0000024,9203.433725292984,359.47833233869306,-279.75,-62.32355318223584,-1.5707963267948966,-0.4188790204785566
point-0000025,9423.121420043171,360.20624715332156,-279.75,-58.73517737717013,-1.5707963267948966,-0.4288523304900642
point-0000026,9861.273196041308,361.44527130593633,-279.75,-51.53852831613766,-1.5707963267948966,-0.4487989505128373
point-0000027,10299.436737266682,362.5405082548465,-279.75,-44.318399613225225,-1.5707963267948966,-0.46874557053564697
point-0000028,10737.612077568534,363.4915181460764,-279.75,-37.07766381726073,-1.5707963267948966,-0.4886921905584623
point-0000029,11175.799246415785,364.29791850699416,-279.75,-29.81920167927517,-1.5707963267948966,-0.5086388105812109
point-0000030,11613.99826889118,364.9593843984993,-279.75,-22.545901006301154,-1.5707963267948966,-0.5285854306040011
point-0000031,12052.209165675364,365.4756485443012,-279.75,-15.260655512558873,-1.5707963267948966,-0.5485320506268136
point-0000032,12490.431953041274,365.8465014372747,-279.75,-7.966363668148933,-1.5707963267948966,-0.5684786706495839
point-0000033,12928.666642854016,366.07179142282786,-279.75,-0.6659275457894469,-1.5707963267948966,-0.588425290672458
point-0000034,13366.913242552919,366.1514247592462,-279.75,6.637748333555334,-1.5707963267948966,-0.6083719106951602
point-0000035,13700.375043283944,366.140546586504,-279.75,12.195434366380777,-1.5707963267948966,-0.6235486509252545
point-0000036,13909.948266097277,366.1311256901405,-279.75,15.68830870838563,-1.5707963267948966,-0.6330884105104742
point-0000037,14243.365809813378,365.98290739644517,-279.75,21.243290738368795,-1.5707963267948966,-0.6482651507407531
point-0000038,14681.653820179656,365.6255873921476,-279.75,28.539346383623165,-1.5707963267948966,-0.6682117707635258
point-0000039,15119.953721267413,365.1228149722166,-279.75,35.827022337494085,-1.5707963267948966,-0.6881583907863702
point-0000040,15558.265496944909,364.474786057817,-279.75,43.10341917535901,-1.5707963267948966,-0.7081050108091528
point-0000041,15996.589126680792,363.6817543610238,-279.75,50.36564195655144,-1.5707963267948966,-0.7280516308319399
point-0000042,16434.924585547036,362.7440312839001,-279.75,57.61080137604101,-1.5707963267948966,-0.7479982508547652
point-0000043,16873.271844226532,361.66198579462355,-279.75,64.83601491392194,-1.5707963267948966,-0.7679448708775355
point-0000044,17311.630869030727,360.43604428068835,-279.75,72.0384079823395,-1.5707963267948966,-0.7878914909003131
point-0000045,17750.00162190837,359.06669037928634,-279.75,79.21511506908679,-1.5707963267948966,-0.8078381109231217
point-0000046,18188.384060458597,357.55446478491,-279.75,86.36328087763538,-1.5707963267948966,-0.8277847309458738
point-0000047,18406.893979914537,356.79959525791946,-279.75,89.92602030782096,-1.5707963267948966,-0.8377580409571743
point-0000048,18625.348473088517,356.0092362709287,-279.75,93.48010884568673,-1.5707963267948966,-0.8477313509686917
point-0000049,19063.759654758163,354.2131161763349,-279.75,100.56276751147509,-1.5707963267948966,-0.8676779709915051
point-0000050,19502.18234561381,352.27608622320605,-279.75,107.60839164035347,-1.5707963267948966,-0.8876245910142645
point-0000051,19940.616484609636,350.1989129584645,-279.75,114.61417811096881,-1.5707963267948966,-0.9075712110370855
point-0000052,20379.06200645136,347.98241868566606,-279.75,121.57733964790748,-1.5707963267948966,-0.9275178310598375
point-0000053,20817.51884163231,345.6274811377997,-279.75,128.49510593080447,-1.5707963267948966,-0.9474644510826531
point-0000054,21255.98691644905,343.1350331281456,-279.75,135.36472469635703,-1.5707963267948966,-0.96741107110544
point-0000055,21694.466153038666,340.5060621791123,-279.75,142.18346283347094,-1.5707963267948966,-0.9873576911283029
point-0000056,22132.956469395634,337.7416101294373,-279.75,148.94860747044422,-1.5707963267948966,-1.0073043111509667
point-0000057,22571.457779427474,334.8427727195403,-279.75,155.65746705467174,-1.5707963267948966,-1.027250931173887
point-0000058,22904.474575875065,332.57395345288194,-279.75,160.72284626618304,-1.5707963267948966,-1.042427671403868
point-0000059,23112.778860938193,331.1491656327316,-279.75,163.88874976978573,-1.5707963267948966,-1.051967430989088
point-0000060,23445.75548995035,328.75586276668264,-279.75,168.8957726287643,-1.5707963267948966,-1.067144171219442
