source_point_id,time_s,rotary_phase_rad,X,Y,Z,A_rad,C_rad
point-0000037,30.743261910,3.054326191,251.785273675,-258.888888889,-224.964800672,1.570796327,-1.483529864
point-0000038,31.615926536,3.141592654,230.000000000,-259.000000000,-246.000000000,1.570796327,-1.570796327
point-0000039,32.488591162,3.228859116,206.464287447,-259.111111111,-265.056442336,1.570796327,-1.658062789
point-0000040,33.361255788,3.316125579,181.357256999,-259.222222222,-281.989096647,1.570796327,-1.745329252
point-0000041,34.233920414,3.403392041,154.869988320,-259.333333333,-296.669095209,1.570796327,-1.832595715
point-0000042,35.106585040,3.490658504,127.204065516,-259.444444444,-308.984714369,1.570796327,-1.919862177
point-0000043,35.979249666,3.577924967,98.570042966,-259.555555556,-318.842224830,1.570796327,-2.007128640
point-0000044,36.851914292,3.665191429,69.185842870,-259.666666667,-326.166604984,1.570796327,-2.094395102
point-0000045,37.724578918,3.752457892,39.275096735,-259.777777778,-330.902111876,1.570796327,-2.181661565
point-0000046,38.597243544,3.839724354,9.065443399,-259.888888889,-333.012705439,1.570796327,-2.268928028
point-0000047,39.469908170,3.926990817,-21.213203436,-260.000000000,-332.482322781,1.570796327,-2.356194490
point-0000048,40.342572796,4.014257280,-51.330404983,-260.111111111,-329.315000436,1.570796327,-2.443460953
point-0000049,41.215237422,4.101523742,-81.056951154,-260.222222222,-323.534843638,1.570796327,-2.530727415
point-0000050,42.087902048,4.188790205,-110.166604984,-260.333333333,-315.185842870,1.570796327,-2.617993878
point-0000051,42.960566674,4.276056667,-138.437824429,-260.444444444,-304.331539071,1.570796327,-2.705260341
point-0000052,43.833231300,4.363323130,-165.655448439,-260.555555556,-291.054540045,1.570796327,-2.792526803
point-0000053,44.705895926,4.450589593,-191.612334462,-260.666666667,-275.455891773,1.570796327,-2.879793266
point-0000054,45.578560552,4.537856055,-216.110934920,-260.777777778,-257.654309386,1.570796327,-2.967059728
point-0000055,46.451225178,4.625122518,-238.964800672,-260.888888889,-237.785273675,1.570796327,-3.054326191
point-0000056,47.323889804,4.712388980,-260.000000000,-261.000000000,-216.000000000,1.570796327,-3.141592654
point-0000057,48.196554430,4.799655443,-279.056442336,-261.111111111,-192.464287447,1.570796327,-3.228859116
point-0000058,49.069219056,4.886921906,-295.989096647,-261.222222222,-167.357256999,1.570796327,-3.316125579
point-0000059,49.941883682,4.974188368,-310.669095209,-261.333333333,-140.869988320,1.570796327,-3.403392041
point-0000060,50.814548308,5.061454831,-322.984714369,-261.444444444,-113.204065516,1.570796327,-3.490658504
point-0000061,51.687212934,5.148721293,-332.842224830,-261.555555556,-84.570042966,1.570796327,-3.577924967
point-0000062,52.559877560,5.235987756,-340.166604984,-261.666666667,-55.185842870,1.570796327,-3.665191429
point-0000063,53.432542186,5.323254219,-344.902111876,-261.777777778,-25.275096735,1.570796327,-3.752457892
point-0000064,54.305206812,5.410520681,-347.012705439,-261.888888889,4.934556601,1.570796327,-3.839724354
point-0000065,55.177871438,5.497787144,-346.482322781,-262.000000000,35.213203436,1.570796327,-3.926990817
point-0000066,56.050536064,5.585053606,-343.315000436,-262.111111111,65.330404983,1.570796327,-4.014257280
point-0000067,56.923200690,5.672320069,-337.534843638,-262.222222222,95.056951154,1.570796327,-4.101523742
point-0000068,57.795865316,5.759586532,-329.185842870,-262.333333333,124.166604984,1.570796327,-4.188790205
point-0000069,58.668529942,5.846852994,-318.331539071,-262.444444444,152.437824429,1.570796327,-4.276056667
point-0000070,59.541194568,5.934119457,-305.054540045,-262.555555556,179.655448439,1.570796327,-4.363323130
point-0000071,60.413859194,6.021385919,-289.455891773,-262.666666667,205.612334462,1.570796327,-4.450589593
point-0000072,61.286523820,6.108652382,-271.654309386,-262.777777778,230.110934920,1.570796327,-4.537856055
point-0000073,62.159188446,6.195918845,-251.785273675,-262.888888889,252.964800672,1.570796327,-4.625122518
point-0000074,63.031853072,6.283185307,-230.000000000,-263.000000000,274.000000000,1.570796327,-4.712388980
point-0000075,63.231853072,6.283185307,-230.000000000,-263.000000000,275.000000000,1.570796327,-4.712388980
