point_id,time_s,X,Y,Z,A,C
point-0000001,0.0,250.0,290.0,267.5,1.5707963267948966,0.0
point-0000002,0.8676634553600016,261.9657826331476,290.0,254.93194546943857,1.5707963267948966,-0.04908738521234059
point-0000003,1.7353269107199982,273.30046675043934,290.0,241.7918965856591,1.5707963267948966,-0.09817477042468094
point-0000004,2.602990366080014,283.97674610503583,290.0,228.11150887735457,1.5707963267948966,-0.14726215563702227
point-0000005,3.4706538214400093,293.96890060483975,290.0,213.92373959677536,1.5707963267948966,-0.19634954084936265
point-0000006,4.338317276800009,303.252858274452,290.0,199.26276832281985,1.5707963267948966,-0.24543692606170292
point-0000007,5.205980732159993,311.8062532466677,290.0,184.16391461943672,1.5707963267948966,-0.29452431127404266
point-0000008,6.073644187520007,319.60847964381026,290.0,168.66355294770003,1.5707963267948966,-0.34361169648638396
point-0000009,6.941307642880016,326.64074121909425,290.0,152.79902503654893,1.5707963267948966,-0.3926990816987251
point-0000010,7.808971098240001,332.88609663843135,290.0,136.60854992329027,1.5707963267948966,-0.44178646691106477
point-0000011,8.676634553600003,338.3295002935882,290.0,120.13113188058925,1.5707963267948966,-0.49087385212340545
point-0000012,9.544298008960002,342.95783854837345,290.0,103.4064664517625,1.5707963267948966,-0.5399612373357459
point-0000013,10.411961464319985,346.7599613305368,290.0,86.47484482073598,1.5707963267948966,-0.5890486225480855
point-0000014,11.279624919679991,349.72670899326954,290.0,69.377056747053,1.5707963267948966,-0.6381360077604263
point-0000015,12.147288375040015,351.8509343815956,290.0,52.15429229977251,1.5707963267948966,-0.6872233929727682
point-0000016,13.014951830399994,353.1275200504944,290.0,34.84804262698522,1.5707963267948966,-0.7363107781851077
point-0000017,13.882615285759996,353.5533905932738,290.0,17.499999999999982,1.5707963267948966,-0.7853981633974483
point-0000018,14.750278741119997,353.12752005049435,290.0,0.15195737301480605,1.5707963267948966,-0.8344855486097889
point-0000019,15.617942196480005,351.8509343815956,290.0,-17.15429229977305,1.5707963267948966,-0.8835729338221298
point-0000020,16.485605651840004,349.72670899326954,290.0,-34.37705674705306,1.5707963267948966,-0.9326603190344703
point-0000021,17.353269107200006,346.75996133053684,290.0,-51.47484482073595,1.5707963267948966,-0.981747704246811
point-0000022,18.220932562559994,342.95783854837345,290.0,-68.40646645176254,1.5707963267948966,-1.0308350894591507
point-0000023,19.08859601791999,338.3295002935882,290.0,-85.13113188058924,1.5707963267948966,-1.079922474671491
point-0000024,19.956259473279996,332.88609663843135,290.0,-101.60854992329031,1.5707963267948966,-1.1290098598838318
point-0000025,20.823922928639995,326.64074121909414,290.0,-117.79902503654924,1.5707963267948966,-1.1780972450961724
point-0000026,21.691586384000004,319.60847964381014,290.0,-133.66355294770037,1.5707963267948966,-1.2271846303085134
point-0000027,22.559249839360007,311.8062532466677,290.0,-149.16391461943684,1.5707963267948966,-1.276272015520854
point-0000028,23.42691329472,303.2528582744519,290.0,-164.26276832282008,1.5707963267948966,-1.3253594007331941
point-0000029,24.294576750079994,293.9689006048397,290.0,-178.92373959677556,1.5707963267948966,-1.3744467859455345
point-0000030,25.16224020543999,283.9767461050357,290.0,-193.11150887735477,1.5707963267948966,-1.4235341711578748
point-0000031,26.029903660800002,273.3004667504393,290.0,-206.79189658565923,1.5707963267948966,-1.472621556370216
point-0000032,26.89756711616,261.9657826331475,290.0,-219.93194546943872,1.5707963267948966,-1.5217089415825564
point-0000033,27.765230571519997,249.99999999999997,290.0,-232.50000000000006,1.5707963267948966,-1.5707963267948968
point-0000034,28.632894026879995,237.4319454694386,290.0,-244.46578263314763,1.5707963267948966,-1.6198837120072371
point-0000035,29.50055748223999,224.29189658565912,290.0,-255.80046675043934,1.5707963267948966,-1.6689710972195775
point-0000036,30.368220937600007,210.6115088773546,290.0,-266.47674610503583,1.5707963267948966,-1.718058482431919
point-0000037,31.235884392960006,196.42373959677536,290.0,-276.4689006048398,1.5707963267948966,-1.7671458676442593
point-0000038,32.103547848320005,181.76276832281985,290.0,-285.752858274452,1.5707963267948966,-1.8162332528565996
point-0000039,32.971211303679986,166.66391461943675,290.0,-294.3062532466677,1.5707963267948966,-1.8653206380689393
point-0000040,33.838874759039996,151.16355294770008,289.99999999999994,-302.10847964381026,1.5707963267948966,-1.9144080232812806
point-0000041,34.706538214400005,135.29902503654898,290.0,-309.14074121909425,1.5707963267948966,-1.9634954084936216
point-0000042,35.574201669759994,119.10854992329024,290.0,-315.3860966384314,1.5707963267948966,-2.0125827937059615
point-0000043,36.441865125119996,102.63113188058921,290.0,-320.82950029358824,1.5707963267948966,-2.0616701789183023
point-0000044,37.30952858047999,85.90646645176247,290.0,-325.45783854837345,1.5707963267948966,-2.1107575641306426
point-0000045,38.17719203583997,68.974844820736,290.0,-329.25996133053684,1.5707963267948966,-2.159844949342982
point-0000046,39.044855491199975,51.87705674705305,289.99999999999994,-332.22670899326954,1.5707963267948966,-2.208932334555323
point-0000047,39.912518946560006,34.654292299772465,290.0,-334.35093438159566,1.5707963267948966,-2.258019719767665
point-0000048,40.78018240191999,17.348042626985148,290.0,-335.62752005049435,1.5707963267948966,-2.3071071049800045
point-0000049,41.64784585727998,2.842170943040401e-14,290.0,-336.0533905932738,1.5707963267948966,-2.356194490192345
point-0000050,42.515509312639985,-17.348042626985233,290.0,-335.62752005049435,1.5707963267948966,-2.4052818754046856
point-0000051,43.38317276799999,-34.654292299773005,290.0,-334.3509343815956,1.5707963267948966,-2.4543692606170264
point-0000052,44.25083622335998,-51.87705674705296,290.0,-332.22670899326954,1.5707963267948966,-2.5034566458293668
