point_id,time_s,X,Y,Z,A,C
point-0000001,0.0,-300.0,279.75,307.5,1.5707963267948966,1.5707963267948966
point-0000002,251.7693245313222,-297.0425690524889,279.75,310.4767973404264,1.5707963267948966,1.5608230167835178
point-0000003,759.9709694853432,-290.93011555473623,279.75,316.34018174398676,1.5707963267948966,1.5408763967606505
point-0000004,1268.1807507894264,-284.70192962244266,279.75,322.08068360423755,1.5707963267948966,1.5209297767378678
point-0000005,1776.39850011827,-278.36048505807247,279.75,327.69601904851044,1.5707963267948966,1.500983156715134
point-0000006,2284.6240461996717,-271.9083007244617,279.75,333.1839539986262,1.5707963267948966,1.4810365366922769
point-0000007,2792.857214864288,-265.34793954287716,279.75,338.54230505957787,1.5707963267948966,1.4610899166695552
point-0000008,3301.0978291359766,-258.6820074730393,279.75,343.76894038846905,1.5707963267948966,1.4411432966466902
point-0000009,3809.345709270036,-251.913152476709,279.75,348.86178054238235,1.5707963267948966,1.4211966766239632
point-0000010,4317.600672850225,-245.04406346380733,279.75,353.8187993059948,1.5707963267948966,1.40125005660107
point-0000011,4825.862534825337,-238.07746922306205,279.75,358.6380244974009,1.5707963267948966,1.3813034365783625
point-0000012,5211.291828276681,-232.73932895207645,279.75,362.21150205437135,1.5707963267948966,1.3661266963482535
point-0000013,5451.52119184703,-229.39695974236184,279.75,364.41585331688987,1.5707963267948966,1.3565869367630374
point-0000014,5836.926321451917,-223.97214418917974,279.75,367.8555750553123,1.5707963267948966,1.3414101965327248
point-0000015,6345.210718139174,-216.72978891209027,279.75,372.25023317819347,1.5707963267948966,1.3214635765099363
point-0000016,6853.50116818636,-209.40122007672858,279.75,376.49976470075524,1.5707963267948966,1.3015169564871858
point-0000017,7361.797473764541,-201.9893492777513,279.75,380.6024789377571,1.5707963267948966,1.2815703364643565
point-0000018,7870.099434868819,-194.4971212519659,279.75,384.55674361224123,1.5707963267948966,1.261623716441652
point-0000019,8378.406849414754,-186.92751270645113,279.75,388.3609855051077,1.5707963267948966,1.2416770964187656
point-0000020,8886.719513285589,-179.28353113469706,279.75,392.01369108080877,1.5707963267948966,1.2217304763959909
point-0000021,9395.037220433955,-171.56821361969963,279.75,395.5134070897062,1.5707963267948966,1.2017838563732455
point-0000022,9903.359762950027,-163.78462562579023,279.75,398.8587411461801,1.5707963267948966,1.1818372363504273
point-0000023,10411.68693113385,-155.93585977912744,279.75,402.0483622825605,1.5707963267948966,1.161890616327634
point-0000024,10662.808581692201,-152.04264437007345,279.75,403.58463021550773,1.5707963267948966,1.1519173063163402
point-0000025,10913.909682506632,-148.13430587387137,279.75,405.0810488611596,1.5707963267948966,1.1419439963048323
point-0000026,11422.247413865332,-140.16456435597726,279.75,407.955594314094,1.5707963267948966,1.1219973762820594
point-0000027,11930.589043741997,-132.1390731503019,279.75,410.6708076233491,1.5707963267948966,1.1020507562592496
point-0000028,12438.93435560173,-124.06102112524957,279.75,413.22560854078006,1.5707963267948966,1.0821041362364343
point-0000029,12947.283131544298,-115.93361806076419,279.75,415.6189806354595,1.5707963267948966,1.0621575162136858
point-0000030,13455.635152391544,-107.76009337122449,279.75,417.84997169809554,1.5707963267948966,1.0422108961908956
point-0000031,13963.990197761572,-99.54369482074654,279.75,419.9176941198341,1.5707963267948966,1.022264276168083
point-0000032,14472.348046153482,-91.28768723102564,279.75,421.82132524541043,1.5707963267948966,1.0023176561453127
point-0000033,14980.708475037009,-82.99535118231708,279.75,423.56010770047,1.5707963267948966,0.9823710361224387
point-0000034,15489.07126091965,-74.66998170852071,279.75,425.1333496928368,1.5707963267948966,0.9624244160997365
point-0000035,15874.328716288044,-68.34151664496096,279.75,426.21927156162735,1.5707963267948966,0.9472476758696421
point-0000036,16114.087319347862,-64.39601858446565,279.75,426.85241845038024,1.5707963267948966,0.9377079162844225
point-0000037,16499.337831295114,-58.04265813045086,279.75,427.7808694220587,1.5707963267948966,0.9225311760541436
point-0000038,17007.707088550404,-49.63808293059057,279.75,428.85409383137517,1.5707963267948966,0.9025845560313709
point-0000039,17516.0777082075,-41.213772352691876,279.75,429.7596715420287,1.5707963267948966,0.8826379360085265
point-0000040,18024.44946310669,-32.7730739372505,279.75,430.49724227568265,1.5707963267948966,0.8626913159857439
point-0000041,18532.822125671162,-24.319341744623216,279.75,431.06651259277146,1.5707963267948966,0.8427446959629568
point-0000042,19041.195467986327,-15.855935020711513,279.75,431.46725600923423,1.5707963267948966,0.8227980759401313
point-0000043,19549.569261882756,-7.386216860523774,279.75,431.6993130866232,1.5707963267948966,0.8028514559173611
