source_point_id,time_s,rotary_phase_rad,X,Y,Z,A_rad,C_rad
point-0000061,51.987212934,5.148721293,-332.842224830,-255.000000000,-84.270042966,1.570796327,-3.577924967
point-0000062,52.859877560,5.235987756,-340.166604984,-255.000000000,-54.885842870,1.570796327,-3.665191429
point-0000063,53.732542186,5.323254219,-344.902111876,-255.000000000,-24.975096735,1.570796327,-3.752457892
point-0000064,54.605206812,5.410520681,-347.012705439,-255.000000000,5.234556601,1.570796327,-3.839724354
point-0000065,55.477871438,5.497787144,-346.482322781,-255.000000000,35.513203436,1.570796327,-3.926990817
point-0000066,56.350536064,5.585053606,-343.315000436,-255.000000000,65.630404983,1.570796327,-4.014257280
point-0000067,57.223200690,5.672320069,-337.534843638,-255.000000000,95.356951154,1.570796327,-4.101523742
point-0000068,58.095865316,5.759586532,-329.185842870,-255.000000000,124.466604984,1.570796327,-4.188790205
point-0000069,58.968529942,5.846852994,-318.331539071,-255.000000000,152.737824429,1.570796327,-4.276056667
point-0000070,59.841194568,5.934119457,-305.054540045,-255.000000000,179.955448439,1.570796327,-4.363323130
point-0000071,60.713859194,6.021385919,-289.455891773,-255.000000000,205.912334462,1.570796327,-4.450589593
point-0000072,61.586523820,6.108652382,-271.654309386,-255.000000000,230.410934920,1.570796327,-4.537856055
point-0000073,62.459188446,6.195918845,-251.785273675,-255.000000000,253.264800672,1.570796327,-4.625122518
point-0000074,63.331853072,6.283185307,-230.000000000,-255.000000000,274.300000000,1.570796327,-4.712388980
point-0000075,64.231853072,6.283185307,-230.000000000,-255.000000000,276.100000000,1.570796327,-4.712388980
point-0000076,64.731853072,6.283185307,-230.000000000,-255.000000000,275.100000000,1.570796327,-4.712388980
point-0000077,65.604517698,6.195918845,-251.785273675,-255.000000000,254.064800672,1.570796327,-4.625122518
point-0000078,66.477182324,6.108652382,-271.654309386,-255.000000000,231.210934920,1.570796327,-4.537856055
point-0000079,67.349846950,6.021385919,-289.455891773,-255.000000000,206.712334462,1.570796327,-4.450589593
point-0000080,68.222511576,5.934119457,-305.054540045,-255.000000000,180.755448439,1.570796327,-4.363323130
point-0000081,69.095176202,5.846852994,-318.331539071,-255.000000000,153.537824429,1.570796327,-4.276056667
point-0000082,69.967840828,5.759586532,-329.185842870,-255.000000000,125.266604984,1.570796327,-4.188790205
point-0000083,70.840505454,5.672320069,-337.534843638,-255.000000000,96.156951154,1.570796327,-4.101523742
point-0000084,71.713170080,5.585053606,-343.315000436,-255.000000000,66.430404983,1.570796327,-4.014257280
point-0000085,72.585834706,5.497787144,-346.482322781,-255.000000000,36.313203436,1.570796327,-3.926990817
point-0000086,73.458499332,5.410520681,-347.012705439,-255.000000000,6.034556601,1.570796327,-3.839724354
point-0000087,74.331163958,5.323254219,-344.902111876,-255.000000000,-24.175096735,1.570796327,-3.752457892
point-0000088,75.203828584,5.235987756,-340.166604984,-255.000000000,-54.085842870,1.570796327,-3.665191429
point-0000089,76.076493210,5.148721293,-332.842224830,-255.000000000,-83.470042966,1.570796327,-3.577924967
point-0000090,76.949157836,5.061454831,-322.984714369,-255.000000000,-112.104065516,1.570796327,-3.490658504
point-0000091,77.821822462,4.974188368,-310.669095209,-255.000000000,-139.769988320,1.570796327,-3.403392041
point-0000092,78.694487088,4.886921906,-295.989096647,-255.000000000,-166.257256999,1.570796327,-3.316125579
point-0000093,79.567151714,4.799655443,-279.056442336,-255.000000000,-191.364287447,1.570796327,-3.228859116
point-0000094,80.439816340,4.712388980,-260.000000000,-255.000000000,-214.900000000,1.570796327,-3.141592654
point-0000095,81.312480966,4.625122518,-238.964800672,-255.000000000,-236.685273675,1.570796327,-3.054326191
point-0000096,82.185145592,4.537856055,-216.110934920,-255.000000000,-256.554309386,1.570796327,-2.967059728
point-0000097,83.057810218,4.450589593,-191.612334462,-255.000000000,-274.355891773,1.570796327,-2.879793266
point-0000098,83.930474844,4.363323130,-165.655448439,-255.000000000,-289.954540045,1.570796327,-2.792526803
point-0000099,84.803139470,4.276056667,-138.437824429,-255.000000000,-303.231539071,1.570796327,-2.705260341
point-0000100,85.675804096,4.188790205,-110.166604984,-255.000000000,-314.085842870,1.570796327,-2.617993878
point-0000101,86.548468722,4.101523742,-81.056951154,-255.000000000,-322.434843638,1.570796327,-2.530727415
point-0000102,87.421133348,4.014257280,-51.330404983,-255.000000000,-328.215000436,1.570796327,-2.443460953
point-0000103,88.293797974,3.926990817,-21.213203436,-255.000000000,-331.382322781,1.570796327,-2.356194490
point-0000104,89.166462600,3.839724354,9.065443399,-255.000000000,-331.912705439,1.570796327,-2.268928028
point-0000105,90.039127226,3.752457892,39.275096735,-255.000000000,-329.802111876,1.570796327,-2.181661565
point-0000106,90.911791852,3.665191429,69.185842870,-255.000000000,-325.066604984,1.570796327,-2.094395102
point-0000107,91.784456478,3.577924967,98.570042966,-255.000000000,-317.742224830,1.570796327,-2.007128640
point-0000108,92.657121104,3.490658504,127.204065516,-255.000000000,-307.884714369,1.570796327,-1.919862177
point-0000109,93.529785730,3.403392041,154.869988320,-255.000000000,-295.569095209,1.570796327,-1.832595715
point-0000110,94.402450356,3.316125579,181.357256999,-255.000000000,-280.889096647,1.570796327,-1.745329252
point-0000111,95.275114982,3.228859116,206.464287447,-255.000000000,-263.956442336,1.570796327,-1.658062789
point-0000112,96.147779608,3.141592654,230.000000000,-255.000000000,-244.900000000,1.570796327,-1.570796327
point-0000113,97.020444234,3.054326191,251.785273675,-255.000000000,-223.864800672,1.570796327,-1.483529864
point-0000114,97.893108860,2.967059728,271.654309386,-255.000000000,-201.010934920,1.570796327,-1.396263402
point-0000115,98.765773486,2.879793266,289.455891773,-255.000000000,-176.512334462,1.570796327,-1.308996939
point-0000116,99.638438112,2.792526803,305.054540045,-255.000000000,-150.555448439,1.570796327,-1.221730476
point-0000117,100.511102738,2.705260341,318.331539071,-255.000000000,-123.337824429,1.570796327,-1.134464014
point-0000118,101.383767364,2.617993878,329.185842870,-255.000000000,-95.066604984,1.570796327,-1.047197551
point-0000119,102.256431990,2.530727415,337.534843638,-255.000000000,-65.956951154,1.570796327,-0.959931089
point-0000120,103.129096616,2.443460953,343.315000436,-255.000000000,-36.230404983,1.570796327,-0.872664626
point-0000121,104.001761242,2.356194490,346.482322781,-255.000000000,-6.113203436,1.570796327,-0.785398163
point-0000122,104.874425868,2.268928028,347.012705439,-255.000000000,24.165443399,1.570796327,-0.698131701
point-0000123,105.747090494,2.181661565,344.902111876,-255.000000000,54.375096735,1.570796327,-0.610865238
point-0000124,106.619755120,2.094395102,340.166604984,-255.000000000,84.285842870,1.570796327,-0.523598776
point-0000125,107.492419746,2.007128640,332.842224830,-255.000000000,113.670042966,1.570796327,-0.436332313
point-0000126,108.365084372,1.919862177,322.984714369,-255.000000000,142.304065516,1.570796327,-0.349065850
point-0000127,109.237748998,1.832595715,310.669095209,-255.000000000,169.969988320,1.570796327,-0.261799388
point-0000128,110.110413624,1.745329252,295.989096647,-255.000000000,196.457256999,1.570796327,-0.174532925
point-0000129,110.983078250,1.658062789,279.056442336,-255.000000000,221.564287447,1.570796327,-0.087266463
point-0000130,111.855742876,1.570796327,260.000000000,-255.000000000,245.100000000,1.570796327,0.000000000
point-0000131,112.728407502,1.483529864,238.964800672,-255.000000000,266.885273675,1.570796327,0.087266463
point-0000132,113.601072128,1.396263402,216.110934920,-255.000000000,286.754309386,1.570796327,0.174532925
point-0000133,114.473736754,1.308996939,191.612334462,-255.000000000,304.555891773,1.570796327,0.261799388
point-0000134,115.346401380,1.221730476,165.655448439,-255.000000000,320.154540045,1.570796327,0.349065850
point-0000135,116.219066006,1.134464014,138.437824429,-255.000000000,333.431539071,1.570796327,0.436332313
point-0000136,117.091730632,1.047197551,110.166604984,-255.000000000,344.285842870,1.570796327,0.523598776
point-0000137,117.964395258,0.959931089,81.056951154,-255.000000000,352.634843638,1.570796327,0.610865238
point-0000138,118.837059884,0.872664626,51.330404983,-255.000000000,358.415000436,1.570796327,0.698131701
point-0000139,119.709724510,0.785398163,21.213203436,-255.000000000,361.582322781,1.570796327,0.785398163
point-0000140,120.582389136,0.698131701,-9.065443399,-255.000000000,362.112705439,1.570796327,0.872664626
point-0000141,121.455053762,0.610865238,-39.275096735,-255.000000000,360.002111876,1.570796327,0.959931089
point-0000142,122.327718388,0.523598776,-69.185842870,-255.000000000,355.266604984,1.570796327,1.047197551
point-0000143,123.200383014,0.436332313,-98.570042966,-255.000000000,347.942224830,1.570796327,1.134464014
point-0000144,124.073047640,0.349065850,-127.204065516,-255.000000000,338.084714369,1.570796327,1.221730476
point-0000145,124.945712266,0.261799388,-154.869988320,-255.000000000,325.769095209,1.570796327,1.308996939
point-0000146,125.818376892,0.174532925,-181.357256999,-255.000000000,311.089096647,1.570796327,1.396263402
point-0000147,126.691041518,0.087266463,-206.464287447,-255.000000000,294.156442336,1.570796327,1.483529864
point-0000148,127.563706144,0.000000000,-230.000000000,-255.000000000,275.100000000,1.570796327,1.570796327
point-0000149,128.463706144,0.000000000,-230.000000000,-255.000000000,276.900000000,1.570796327,1.570796327
point-0000150,128.963706144,0.000000000,-230.000000000,-255.000000000,275.900000000,1.570796327,1.570796327
point-0000151,129.836370770,0.087266463,-206.464287447,-255.000000000,294.956442336,1.570796327,1.483529864
point-0000152,130.709035396,0.174532925,-181.357256999,-255.000000000,311.889096647,1.570796327,1.396263402
point-0000153,131.581700022,0.261799388,-154.869988320,-255.000000000,326.569095209,1.570796327,1.308996939
point-0000154,132.454364648,0.349065850,-127.204065516,-255.000000000,338.884714369,1.570796327,1.221730476
point-0000155,133.327029274,0.436332313,-98.570042966,-255.000000000,348.742224830,1.570796327,1.134464014
point-0000156,134.199693900,0.523598776,-69.185842870,-255.000000000,356.066604984,1.570796327,1.047197551
point-0000157,135.072358526,0.610865238,-39.275096735,-255.000000000,360.802111876,1.570796327,0.959931089
point-0000158,135.945023152,0.698131701,-9.065443399,-255.000000000,362.912705439,1.570796327,0.872664626
point-0000159,136.817687778,0.785398163,21.213203436,-255.000000000,362.382322781,1.570796327,0.785398163
point-0000160,137.690352404,0.872664626,51.330404983,-255.000000000,359.215000436,1.570796327,0.698131701
point-0000161,138.563017030,0.959931089,81.056951154,-255.000000000,353.434843638,1.570796327,0.610865238
point-0000162,139.435681656,1.047197551,110.166604984,-255.000000000,345.085842870,1.570796327,0.523598776
point-0000163,140.308346282,1.134464014,138.437824429,-255.000000000,334.231539071,1.570796327,0.436332313
point-0000164,141.181010908,1.221730476,165.655448439,-255.000000000,320.954540045,1.570796327,0.349065850
point-0000165,142.053675534,1.308996939,191.612334462,-255.000000000,305.355891773,1.570796327,0.261799388
point-0000166,142.926340160,1.396263402,216.110934920,-255.000000000,287.554309386,1.570796327,0.174532925
point-0000167,143.799004786,1.483529864,238.964800672,-255.000000000,267.685273675,1.570796327,0.087266463
point-0000168,144.671669412,1.570796327,260.000000000,-255.000000000,245.900000000,1.570796327,0.000000000
point-0000169,145.544334038,1.658062789,279.056442336,-255.000000000,222.364287447,1.570796327,-0.087266463
point-0000170,146.416998664,1.745329252,295.989096647,-255.000000000,197.257256999,1.570796327,-0.174532925
point-0000171,147.289663290,1.832595715,310.669095209,-255.000000000,170.769988320,1.570796327,-0.261799388
point-0000172,148.162327916,1.919862177,322.984714369,-255.000000000,143.104065516,1.570796327,-0.349065850
point-0000173,149.034992542,2.007128640,332.842224830,-255.000000000,114.470042966,1.570796327,-0.436332313
point-0000174,149.907657168,2.094395102,340.166604984,-255.000000000,85.085842870,1.570796327,-0.523598776
point-0000175,150.780321794,2.181661565,344.902111876,-255.000000000,55.175096735,1.570796327,-0.610865238
point-0000176,151.652986420,2.268928028,347.012705439,-255.000000000,24.965443399,1.570796327,-0.698131701
point-0000177,152.525651046,2.356194490,346.482322781,-255.000000000,-5.313203436,1.570796327,-0.785398163
point-0000178,153.398315672,2.443460953,343.315000436,-255.000000000,-35.430404983,1.570796327,-0.872664626
point-0000179,154.270980298,2.530727415,337.534843638,-255.000000000,-65.156951154,1.570796327,-0.959931089
point-0000180,155.143644924,2.617993878,329.185842870,-255.000000000,-94.266604984,1.570796327,-1.047197551
point-0000181,156.016309550,2.705260341,318.331539071,-255.000000000,-122.537824429,1.570796327,-1.134464014
point-0000182,156.888974176,2.792526803,305.054540045,-255.000000000,-149.755448439,1.570796327,-1.221730476
point-0000183,157.761638801,2.879793266,289.455891773,-255.000000000,-175.712334462,1.570796327,-1.308996939
point-0000184,158.634303427,2.967059728,271.654309386,-255.000000000,-200.210934920,1.570796327,-1.396263402
point-0000185,159.506968053,3.054326191,251.785273675,-255.000000000,-223.064800672,1.570796327,-1.483529864
point-0000186,160.379632679,3.141592654,230.000000000,-255.000000000,-244.100000000,1.570796327,-1.570796327
point-0000187,161.252297305,3.228859116,206.464287447,-255.000000000,-263.156442336,1.570796327,-1.658062789
point-0000188,162.124961931,3.316125579,181.357256999,-255.000000000,-280.089096647,1.570796327,-1.745329252
point-0000189,162.997626557,3.403392041,154.869988320,-255.000000000,-294.769095209,1.570796327,-1.832595715
point-0000190,163.870291183,3.490658504,127.204065516,-255.000000000,-307.084714369,1.570796327,-1.919862177
point-0000191,164.742955809,3.577924967,98.570042966,-255.000000000,-316.942224830,1.570796327,-2.007128640
point-0000192,165.615620435,3.665191429,69.185842870,-255.000000000,-324.266604984,1.570796327,-2.094395102
point-0000193,166.488285061,3.752457892,39.275096735,-255.000000000,-329.002111876,1.570796327,-2.181661565
point-0000194,167.360949687,3.839724354,9.065443399,-255.000000000,-331.112705439,1.570796327,-2.268928028
point-0000195,168.233614313,3.926990817,-21.213203436,-255.000000000,-330.582322781,1.570796327,-2.356194490
point-0000196,169.106278939,4.014257280,-51.330404983,-255.000000000,-327.415000436,1.570796327,-2.443460953
point-0000197,169.978943565,4.101523742,-81.056951154,-255.000000000,-321.634843638,1.570796327,-2.530727415
point-0000198,170.851608191,4.188790205,-110.166604984,-255.000000000,-313.285842870,1.570796327,-2.617993878
point-0000199,171.724272817,4.276056667,-138.437824429,-255.000000000,-302.431539071,1.570796327,-2.705260341
point-0000200,172.596937443,4.363323130,-165.655448439,-255.000000000,-289.154540045,1.570796327,-2.792526803
point-0000201,173.469602069,4.450589593,-191.612334462,-255.000000000,-273.555891773,1.570796327,-2.879793266
point-0000202,174.342266695,4.537856055,-216.110934920,-255.000000000,-255.754309386,1.570796327,-2.967059728
point-0000203,175.214931321,4.625122518,-238.964800672,-255.000000000,-235.885273675,1.570796327,-3.054326191
point-0000204,176.087595947,4.712388980,-260.000000000,-255.000000000,-214.100000000,1.570796327,-3.141592654
point-0000205,176.960260573,4.799655443,-279.056442336,-255.000000000,-190.564287447,1.570796327,-3.228859116
point-0000206,177.832925199,4.886921906,-295.989096647,-255.000000000,-165.457256999,1.570796327,-3.316125579
point-0000207,178.705589825,4.974188368,-310.669095209,-255.000000000,-138.969988320,1.570796327,-3.403392041
point-0000208,179.578254451,5.061454831,-322.984714369,-255.000000000,-111.304065516,1.570796327,-3.490658504
point-0000209,180.450919077,5.148721293,-332.842224830,-255.000000000,-82.670042966,1.570796327,-3.577924967
point-0000210,181.323583703,5.235987756,-340.166604984,-255.000000000,-53.285842870,1.570796327,-3.665191429
point-0000211,182.196248329,5.323254219,-344.902111876,-255.000000000,-23.375096735,1.570796327,-3.752457892
point-0000212,183.068912955,5.410520681,-347.012705439,-255.000000000,6.834556601,1.570796327,-3.839724354
point-0000213,183.941577581,5.497787144,-346.482322781,-255.000000000,37.113203436,1.570796327,-3.926990817
point-0000214,184.814242207,5.585053606,-343.315000436,-255.000000000,67.230404983,1.570796327,-4.014257280
point-0000215,185.686906833,5.672320069,-337.534843638,-255.000000000,96.956951154,1.570796327,-4.101523742
point-0000216,186.559571459,5.759586532,-329.185842870,-255.000000000,126.066604984,1.570796327,-4.188790205
point-0000217,187.432236085,5.846852994,-318.331539071,-255.000000000,154.337824429,1.570796327,-4.276056667
point-0000218,188.304900711,5.934119457,-305.054540045,-255.000000000,181.555448439,1.570796327,-4.363323130
point-0000219,189.177565337,6.021385919,-289.455891773,-255.000000000,207.512334462,1.570796327,-4.450589593
point-0000220,190.050229963,6.108652382,-271.654309386,-255.000000000,232.010934920,1.570796327,-4.537856055
point-0000221,190.922894589,6.195918845,-251.785273675,-255.000000000,254.864800672,1.570796327,-4.625122518
point-0000222,191.795559215,6.283185307,-230.000000000,-255.000000000,275.900000000,1.570796327,-4.712388980
point-0000223,192.295559215,6.283185307,-230.000000000,-255.000000000,276.900000000,1.570796327,-4.712388980
point-0000224,192.695559215,6.283185307,-230.000000000,-255.800000000,276.900000000,1.570796327,-4.712388980
point-0000225,193.995559215,6.283185307,-230.000000000,-255.800000000,274.300000000,1.570796327,-4.712388980
point-0000226,194.868223841,6.195918845,-251.785273675,-255.800000000,253.264800672,1.570796327,-4.625122518
point-0000227,195.740888467,6.108652382,-271.654309386,-255.800000000,230.410934920,1.570796327,-4.537856055
point-0000228,196.613553093,6.021385919,-289.455891773,-255.800000000,205.912334462,1.570796327,-4.450589593
point-0000229,197.486217719,5.934119457,-305.054540045,-255.800000000,179.955448439,1.570796327,-4.363323130
point-0000230,198.358882345,5.846852994,-318.331539071,-255.800000000,152.737824429,1.570796327,-4.276056667
point-0000231,199.231546971,5.759586532,-329.185842870,-255.800000000,124.466604984,1.570796327,-4.188790205
point-0000232,200.104211597,5.672320069,-337.534843638,-255.800000000,95.356951154,1.570796327,-4.101523742
point-0000233,200.976876223,5.585053606,-343.315000436,-255.800000000,65.630404983,1.570796327,-4.014257280
point-0000234,201.849540849,5.497787144,-346.482322781,-255.800000000,35.513203436,1.570796327,-3.926990817
point-0000235,202.722205475,5.410520681,-347.012705439,-255.800000000,5.234556601,1.570796327,-3.839724354
point-0000236,203.594870101,5.323254219,-344.902111876,-255.800000000,-24.975096735,1.570796327,-3.752457892
point-0000237,204.467534727,5.235987756,-340.166604984,-255.800000000,-54.885842870,1.570796327,-3.665191429
point-0000238,205.340199353,5.148721293,-332.842224830,-255.800000000,-84.270042966,1.570796327,-3.577924967
point-0000239,206.212863979,5.061454831,-322.984714369,-255.800000000,-112.904065516,1.570796327,-3.490658504
point-0000240,207.085528605,4.974188368,-310.669095209,-255.800000000,-140.569988320,1.570796327,-3.403392041
point-0000241,207.958193231,4.886921906,-295.989096647,-255.800000000,-167.057256999,1.570796327,-3.316125579
point-0000242,208.830857857,4.799655443,-279.056442336,-255.800000000,-192.164287447,1.570796327,-3.228859116
point-0000243,209.703522483,4.712388980,-260.000000000,-255.800000000,-215.700000000,1.570796327,-3.141592654
point-0000244,210.576187109,4.625122518,-238.964800672,-255.800000000,-237.485273675,1.570796327,-3.054326191
point-0000245,211.448851735,4.537856055,-216.110934920,-255.800000000,-257.354309386,1.570796327,-2.967059728
point-0000246,212.321516361,4.450589593,-191.612334462,-255.800000000,-275.155891773,1.570796327,-2.879793266
point-0000247,213.194180987,4.363323130,-165.655448439,-255.800000000,-290.754540045,1.570796327,-2.792526803
point-0000248,214.066845613,4.276056667,-138.437824429,-255.800000000,-304.031539071,1.570796327,-2.705260341
point-0000249,214.939510239,4.188790205,-110.166604984,-255.800000000,-314.885842870,1.570796327,-2.617993878
point-0000250,215.812174865,4.101523742,-81.056951154,-255.800000000,-323.234843638,1.570796327,-2.530727415
point-0000251,216.684839491,4.014257280,-51.330404983,-255.800000000,-329.015000436,1.570796327,-2.443460953
point-0000252,217.557504117,3.926990817,-21.213203436,-255.800000000,-332.182322781,1.570796327,-2.356194490
point-0000253,218.430168743,3.839724354,9.065443399,-255.800000000,-332.712705439,1.570796327,-2.268928028
