source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000030,32.590136148,269.868804534,315.259188670,-193.758986362,-1.360735986,-0.006817669
point-0000031,33.407569245,263.038331139,314.432834406,-203.908176834,-1.369110576,0.021983097
point-0000032,34.197967218,256.314889484,313.359747170,-213.614248688,-1.377579337,0.049659812
point-0000033,34.961632376,249.713171266,312.067335398,-222.885898761,-1.386087207,0.076261413
point-0000034,35.698822606,243.245371832,310.583447038,-231.731336489,-1.394581069,0.101834093
point-0000035,36.409755796,236.921338150,308.936313495,-240.158340669,-1.403009126,0.126422109
point-0000036,37.092677564,230.786059171,307.136655661,-248.161812750,-1.411373337,0.149942161
point-0000037,37.741795529,224.967421038,305.156183958,-255.713359738,-1.419791779,0.172035967
point-0000038,38.357224627,219.484435849,303.018559109,-262.825803245,-1.428229059,0.192718092
point-0000039,38.939562043,214.344089646,300.751330783,-269.514436242,-1.436638857,0.212033650
point-0000040,39.489409239,209.550343528,298.381696419,-275.793728990,-1.444975880,0.230028406
point-0000041,40.007360997,205.104385597,295.936511839,-281.677281142,-1.453195530,0.246748994
point-0000042,40.493965566,201.005360720,293.442143298,-287.177510413,-1.461253820,0.262241370
point-0000043,40.949700703,197.250880752,290.924419622,-292.305493799,-1.469107183,0.276549999
point-0000044,41.374983638,193.836870968,288.408810082,-297.071099753,-1.476711844,0.289719108
point-0000045,41.765872530,190.863632283,285.885430150,-301.449579377,-1.484121539,0.301469116
point-0000046,42.119521014,188.431161431,283.343444503,-305.419658192,-1.491393405,0.311524966
point-0000047,42.437907689,186.534101178,280.805513764,-308.992939149,-1.498490305,0.319931385
point-0000048,42.723336853,185.165280568,278.293649023,-312.178464606,-1.505375111,0.326732465
point-0000049,42.978579655,184.315992974,275.829299376,-314.982781125,-1.512010510,0.331971549
point-0000050,43.207076720,183.976107703,273.433466851,-317.410108657,-1.518358871,0.335691585
point-0000051,43.413185904,184.134483688,271.126621138,-319.462327926,-1.524382255,0.337934268
point-0000052,43.602431827,184.779062551,268.928673187,-321.139139572,-1.530042409,0.338740170
point-0000053,43.781553620,185.896385950,266.859196115,-322.438328492,-1.535300052,0.338150551
point-0000054,43.966780962,187.674185538,264.894500821,-323.274369064,-1.540236105,0.335599832
point-0000055,44.175602370,190.172156877,263.034501519,-323.608999300,-1.544867554,0.330898983
point-0000056,44.418476136,193.368090811,261.294741398,-323.431613056,-1.549165955,0.324096670
point-0000057,44.701703535,197.238076401,259.689541901,-322.727665594,-1.553103858,0.315239112
point-0000058,45.028934219,201.755835343,258.231831281,-321.479500511,-1.556655217,0.304372134
point-0000059,45.402220673,206.892039256,256.932849050,-319.667270054,-1.559795976,0.291543202
point-0000060,45.822604718,212.613605252,255.801763275,-317.269991339,-1.562504812,0.276803567
point-0000061,46.290412766,218.883027869,254.845267082,-314.266753381,-1.564764001,0.260210467
point-0000062,46.825677666,225.914116103,254.041164730,-310.474441002,-1.566641466,0.241012077
point-0000063,47.427218783,233.643870481,253.386526924,-305.865863947,-1.568147010,0.219294665
point-0000064,48.091550897,241.979598202,252.879093958,-300.429043562,-1.569282503,0.195226036
point-0000065,48.819879052,250.884511894,252.507133522,-294.110967490,-1.570076391,0.168776060
point-0000066,49.613211574,260.314547284,252.254922263,-286.856966356,-1.570568336,0.139912724
