source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000026,11.673140407,190.863632283,285.885430150,-301.449751370,-1.484121539,0.301469116
point-0000027,12.064037829,193.836870968,288.408810082,-297.071100406,-1.476711844,0.289719108
point-0000028,12.489314691,197.250880752,290.924419622,-292.305616394,-1.469107183,0.276549999
point-0000029,12.945034627,201.005360720,293.442143298,-287.177936972,-1.461253820,0.262241370
point-0000030,13.431622437,205.104385597,295.936511839,-281.678041301,-1.453195530,0.246748994
point-0000031,13.949563506,209.550343528,298.381696419,-275.794700888,-1.444975880,0.230028406
point-0000032,14.499413063,214.344089646,300.751330783,-269.515361621,-1.436638857,0.212033650
point-0000033,15.081764171,219.484435849,303.018559109,-262.826460409,-1.428229059,0.192718092
point-0000034,15.697210648,224.967421038,305.156183958,-255.713678544,-1.419791779,0.172035967
point-0000035,16.346342043,230.786059171,307.136655661,-248.161871817,-1.411373337,0.149942161
point-0000036,17.029265864,236.921337393,308.936312655,-240.158359545,-1.403009126,0.126422109
point-0000037,17.740187442,243.245366175,310.583441027,-231.731571111,-1.394581069,0.101834093
point-0000038,18.477359824,249.713168370,312.067332448,-222.886470601,-1.386087207,0.076261413
point-0000039,19.241008614,256.314889484,313.359747170,-213.615126337,-1.377579337,0.049659812
point-0000040,20.031400038,263.038331139,314.432834406,-203.909174471,-1.369110576,0.021983097
point-0000041,20.848841827,269.868804534,315.259188670,-193.759826491,-1.360735986,-0.006817669
point-0000042,21.693620049,276.788213886,315.812322320,-183.158547206,-1.352512561,-0.036791909
point-0000043,22.565970788,283.774441237,316.067116321,-172.097273998,-1.344499341,-0.067988294
point-0000044,23.466064778,290.801014128,316.000203599,-160.568576577,-1.336757833,-0.100454660
point-0000045,24.391449769,297.795509340,315.620315554,-148.584894644,-1.329242074,-0.134051812
point-0000046,25.336454258,304.639058970,314.973626446,-136.188114595,-1.321765376,-0.168407427
point-0000047,26.300692584,311.304112043,314.044448305,-123.385431518,-1.314366264,-0.203535940
point-0000048,27.284038867,317.764912290,312.816569190,-110.182454443,-1.307093629,-0.239470707
point-0000049,28.286421505,323.993830400,311.275836585,-96.584653648,-1.299998884,-0.276249783
point-0000050,29.307793326,329.960872079,309.410455574,-82.597700573,-1.293136681,-0.313915760
point-0000051,30.348109623,335.633307571,307.211490459,-68.227729179,-1.286565690,-0.352515522
point-0000052,31.407309134,340.975229686,304.673462511,-53.481523129,-1.280349452,-0.392099836
point-0000053,32.485024486,345.943072103,301.799386520,-38.368910371,-1.274529275,-0.432691290
point-0000054,33.578192841,350.451555862,298.640344673,-22.923106224,-1.268831862,-0.473966007
point-0000055,34.686439860,354.461417638,295.202853600,-7.160738345,-1.263223989,-0.515890371
point-0000056,35.810038703,357.941171842,291.485549779,8.905676743,-1.257731742,-0.558502401
point-0000057,36.949429544,360.857939164,287.488381218,25.264548853,-1.252388832,-0.601853228
point-0000058,38.105092020,363.176199967,283.213760990,41.903459116,-1.247238667,-0.646003594
point-0000059,39.277494895,364.856872298,278.667651457,58.808403394,-1.242336028,-0.691023536
point-0000060,40.467014796,365.856657161,273.861272218,75.962545978,-1.237748999,-0.736990141
point-0000061,41.673842110,366.127465494,268.813130855,93.344725626,-1.233560879,-0.783984784
point-0000062,42.899140492,365.618222797,263.541465938,110.944593489,-1.229615581,-0.831942673
point-0000063,44.144356436,364.281692146,258.056009871,128.749089431,-1.225791053,-0.880836751
point-0000064,45.409956515,362.066188029,252.377188247,146.727822064,-1.222210359,-0.930789735
point-0000065,46.696643686,358.916049527,246.530721658,164.849558418,-1.218924014,-0.981876836
point-0000066,48.004793257,354.771914161,240.552646371,183.073751128,-1.216004316,-1.034174846
point-0000067,49.334287725,349.571522176,234.492895614,201.347648928,-1.213547193,-1.087755167
point-0000068,50.684352183,343.251655457,228.419037997,219.603311002,-1.211673270,-1.142675331
point-0000069,52.053412143,335.751698491,222.419754231,237.754961160,-1.210527821,-1.198969352
point-0000070,53.438991262,327.018400249,216.607482234,255.696773567,-1.210279180,-1.256636921
